company_name,proper_website_url,country,skip_reason
Wopno Outsourcing Services,,AU,No website URL
Outsourced Professional Solutions,https://www.opsolutions.com.au,AU,Scrape failed / timeout
Jess Adams atrealty - Independent Albany Real Estate Agents,https://jessadamsrealty.com.au,AU,Scrape failed / timeout
Diime technology,https://diimetechnology.com,AU,Scrape failed / timeout
SwitchEnthusiast,https://9cc20b-2.myshopify.com,AU,Scrape failed / timeout
hbnaturals,,AU,No website URL
PSP Coast,,AU,No website URL
Diamond Collar Gear,,AU,No website URL
PS Partner,,AU,No website URL
The Custom Case,https://thecustomcase.net,AU,Scrape failed / timeout
virtual assistant,,AU,No website URL
Pixel Perfect Web Design,http://pixelperfectweb.com.au,,Scrape failed / timeout
Millicent Real Estate,,AU,No website URL
Mount Gambier Property Network - APN Real Estate Group,https://www.adelaidepropertynetwork.com.au,AU,Scrape failed / timeout
Turner Real Estate,https://www.turnerrealestate.com.au,AU,Scrape failed / timeout
Toll Ipec,,AU,No website URL
Keeping It Realty - Boutique Adelaide Real Estate Agency,https://www.keepingitrealty.com.au,AU,Scrape failed / timeout
Nolzies Goods,,AU,No website URL
DevineDiva,,AU,No website URL
BroHome,,AU,No website URL
The circle online,,AU,No website URL
Angie & Co,,AU,No website URL
MJJT,,AU,No website URL
Isabelle Lette,,AU,No website URL
Wilsons Warrnambool & District Real Estate,https://wilsonswarrnambool.com.au,AU,Scrape failed / timeout
Sacred Drum,,AU,No website URL
Shyjac,,,No website URL
Zebros,,,No website URL
Southern Grampians Livestock & Real Estate,https://www.sglrealestate.com.au,AU,No email or phone found
Charles Stewart Western Victoria,http://charlesstewart.com.au/about-us/our-offices,AU,Scrape failed / timeout
Blue Poles,,AU,No website URL
Gaerwood B/B 5 Star,,AU,No website URL
Rennie's Workers Accommodation,,AU,No website URL
Menzies Hotel,,AU,No website URL
Allestree Beach Holiday Units,http://allestreebeachholidayunits.com,AU,Scrape failed / timeout
National Smokehouse Hotel,https://m.facebook.com/p/National-Smokehouse-Coleraine-61557570722066,AU,Scrape failed / timeout
Coleraine Hotel,http://www.colerainehotel.com.au,AU,Scrape failed / timeout
Heywood Hotel,https://facebook.com/heywoodhotel3304,AU,Scrape failed / timeout
Outsourcing Group,,AU,No website URL
Nick Mousellis Real Estate - Eview Group Proud Member,https://nickmousellis.eview.com.au,AU,Scrape failed / timeout
REDDY G REAL ESTATE AGENTS,http://www.reddyg.com.au,AU,Scrape failed / timeout
Platform DB,https://platformdb.com,AU,No email or phone found
RE/MAX IMPACT,https://remaximpact.com.au,AU,Scrape failed / timeout
4069 Real Estate,https://www.4069realestate.com.au,AU,Scrape failed / timeout
Henzells Real Estate Agency,https://henzells.com.au,AU,Scrape failed / timeout
RE/MAX Partners Real Estate Hervey Bay,https://www.remaxpartnersrealestate.com.au,AU,Scrape failed / timeout
Miriam Vale Hotel,http://www.miriamvalehotel.com.au,AU,Scrape failed / timeout
Sutton’s Regal Realty,https://www.suttonsregalrealty.com,,Scrape failed / timeout
Page & Pearce - Real Estate Townsville,https://pagepearce.com.au,AU,Scrape failed / timeout
Daring and Young Property,https://daringandyoung.com,AU,Scrape failed / timeout
Medicine on Edison,,AU,No website URL
McGrath Estate Agents Townsville,https://www.mcgrath.com.au/offices/townsville,AU,Scrape failed / timeout
Mooney Street Medical,https://www.mooneymedical.com.au,AU,Scrape failed / timeout
Kirwan FAMILY CLINIC,https://www.facebook.com/avenuesfmc,AU,Scrape failed / timeout
Mackay City Property,https://mackaycityproperty.com.au,AU,Scrape failed / timeout
Smart Rentals Townsville - Rental and Property Management,https://www.smartrentalstsv.com.au,AU,No email or phone found
REMAX Select Mackay,https://www.remax.com.au/select,AU,Scrape failed / timeout
East Sydney Realty (Zetland),http://sydneymansion.com,AU,No email or phone found
Oasis Exchange Hotel,http://www.oasisexchangehotel-torrenscreek.com.au,AU,Scrape failed / timeout
Three Rivers Hotel,http://www.threerivershotel.com.au,AU,Scrape failed / timeout
Newmarket Hotel Townsville,,AU,No website URL
Commercial Hotel,,AU,No website URL
Courty Hotel,,AU,No website URL
Focus Realty,,AU,No website URL
McGrath Estate Agents Mackay,https://www.mcgrath.com.au/offices/421-mackay,AU,Scrape failed / timeout
Spanny's Whitsunday Real Estate,https://www.facebook.com/groups/872859666132843,AU,Scrape failed / timeout
Cutting Edge Property - Townsville Real Estate,http://www.cuttingedgeproperty.com.au,,Scrape failed / timeout
White Picket Real Estate,http://www.whitepicketrealestate.com.au/property,AU,Scrape failed / timeout
Burgess Rawson Townsville,https://www.burgessrawson.com.au/offices/townsville,AU,Scrape failed / timeout
Mint Apartment Management Pty Ltd,,AU,No website URL
Queensland Rural - Livestock & Property,https://www.qldrural.com.au,AU,No email or phone found
MOVE Marketing,http://movemarketing.com.au,AU,Scrape failed / timeout
Petton Lifestyle Business,http://www.pettonlifestyle.com,AU,Scrape failed / timeout
Little Bee Marketing,https://www.littlebeemarketing.com.au,AU,No email or phone found
wiipersonalizeit,,AU,No website URL
Digigami,http://digigami.au,,Scrape failed / timeout
Copley,,AU,No website URL
Vulmain,https://www.vulmain.com,AU,Scrape failed / timeout
Aqcent,,AU,No website URL
Mojito Solutions,,AU,No website URL
FortuneGen,,AU,No website URL
Lizzie's Custom Cut's,,AU,No website URL
IlluminationG,,AU,No website URL
katarinamaireriki,,AU,No website URL
Riddick,http://www.riddick.com.au,AU,Scrape failed / timeout
Axpress,,AU,No website URL
PrimeFinds Australia,,AU,No website URL
NEO,,AU,No website URL
Advanced Sportz,,,No website URL
Walto's Crest,,AU,No website URL
Innovz'home,,AU,No website URL
EGO Fun Australia,,AU,No website URL
Mech Seals Online,http://mechsealsonline.com.au,AU,Scrape failed / timeout
Lucif Designs - Coffee Mugs,,AU,No website URL
Modded Culture,https://www.moddedculture.store,AU,Scrape failed / timeout
bigdogtec,,AU,No website URL
Bowen Business Machines,,AU,No website URL
Tower Medical Centre,,AU,No website URL
Independent Living Specialists (ILS) - Townsville Showroom,https://ilsau.com.au/store/independent-living-specialists-townsville-mobility-specialist-store,AU,Scrape failed / timeout
Jess Ball Design,https://jessballdesign.com.au,,Scrape failed / timeout
Elite Choice Real Estate,https://www.elitechoicerealestate.com.au,AU,Scrape failed / timeout
Jessica Warren Kalgoorlie Real Estate Specialist,https://www.professionalskalgoorlie.com.au/real-estate/profile/115911/jessica-warren,AU,Scrape failed / timeout
Second Chances Emporium,,AU,No website URL
Camotion - Graphic Design and Web Design Mackay,https://www.camotion.com.au,AU,Scrape failed / timeout
Internet Marketing Experts Mackay,,AU,No website URL
Independent Living Specialists (ILS) - Mackay Showroom,https://ilsau.com.au/store/independent-living-specialists-mackay-mobility-specialist-store,AU,Scrape failed / timeout
On Point Web Solutions,,AU,No website URL
Gadsventure,https://gadsventure.com,AU,Scrape failed / timeout
Kyebeck E Commerce,https://robosweeps.co,,Scrape failed / timeout
Tinkers Cart,,AU,No website URL
Avenue Online,,,No website URL
Eclect,https://www.eclect.store,,Scrape failed / timeout
Daycare Direct,https://www.daycaredirect.com.au,,Scrape failed / timeout
Mad Crab,,,No website URL
Kilo Whiskey Sierra,,,No website URL
Illuminate Mackay,,,No website URL
1300rideshare,http://www.1300rideshare.com.au,,Scrape failed / timeout
1300 ride share,,,No website URL
Kuranda Terminal,https://www.skyrail.com.au/experience/trip-planner/kuranda,AU,Scrape failed / timeout
Hibiscus Media,https://hibiscusmedia.com.au,AU,Scrape failed / timeout
Digital-treasure,http://digital-treasure.com,AU,No email or phone found
BuzzBeam | Web Design for Tradies,https://www.buzzbeam.com.au,AU,Scrape failed / timeout
Digital Navigator,,AU,No website URL
Austhai Group - eCommerce Consumer Goods,,,No website URL
The Tialu Store,https://www.thetialu.store,AU,No email or phone found
uDigital Web Solutions,,AU,No website URL
Internet Marketing Experts Cairns,,AU,No website URL
Studio Behana,https://studiobehana.com,AU,Scrape failed / timeout
uDigital Web Solutions Tablelands,,,No website URL
Port Douglas Web Designs,https://www.portdouglaswebdesigns.com.au,,Scrape failed / timeout
Blackwoods Cairns,https://www.blackwoods.com.au/store/CA,AU,Scrape failed / timeout
Paradise Property Group,https://www.paradise-property.com.au,AU,Scrape failed / timeout
DJ Smith Property,https://www.djsmithproperty.com.au,AU,No email or phone found
Cairns Beaches Realty,http://www.cbrealty.com.au,AU,Scrape failed / timeout
Benchmark Real Estate Cairns,https://www.brecairns.com.au,AU,Scrape failed / timeout
CORDABLE,,,No website URL
CS Real Estate Agency,https://csrealestatecomau.wordpress.com,AU,No email or phone found
Pinnacle Enterprises,https://pinnacleenterprises.myshopify.com,,Scrape failed / timeout
KRUIZ,https://www.kruiz.com.au,,Scrape failed / timeout
petacademic,https://www.petacademic.com,,No email or phone found
Unique Real Estate,https://thinkunique.com.au,AU,Scrape failed / timeout
Property Shop Sales Cairns,https://property-shop.com.au,AU,No email or phone found
Remax Cairns,https://www.remaxcairns.com.au,AU,Scrape failed / timeout
McGrath Estate Agents Cairns,https://www.mcgrath.com.au/offices/cairns-a0vRE0000F0YaXYAV,AU,Scrape failed / timeout
Hillebrand Property Group,https://hpgcairns.com.au,AU,No email or phone found
Fixed Fee Property,,AU,No website URL
EduTech Australia,http://www.edutechaustralia.com,AU,Scrape failed / timeout
Marketlend Pty Ltd,http://www.marketlend.com.au,AU,Scrape failed / timeout
Ray White Unlimited | Ray White Bondi Beach,http://www.rwunlimited.com.au,AU,Scrape failed / timeout
Position Property West End,https://www.positionproperty.com.au/brad-munro/profile,AU,Scrape failed / timeout
JJ Property,https://www.facebook.com/JJpropertymanagementbrisbane,AU,Scrape failed / timeout
Zero Sum Digital,,,No website URL
Team Sadowski Nevill - GPT,https://realestateagentgeraldton.com.au,AU,Scrape failed / timeout
Hancock Real Estate,,AU,No website URL
Monty's Realty,,,No website URL
Mareeba Real Estate Agencies,,AU,No website URL
Data Action Pty Ltd,http://www.da.com.au,AU,Scrape failed / timeout
The Majestic Aussie Store,http://www.majesticaussiestore.com,AU,Scrape failed / timeout
youbusinesssolutions,https://youbusinesssolutions.com.au,AU,Scrape failed / timeout
UP4OFFER: Online Shop. 🛍️🛒,,AU,No website URL
BAM Fulfillment,https://bamfulfillment.com.au,AU,Scrape failed / timeout
Finovate,https://www.finovatefs.com.au,AU,Scrape failed / timeout
Evergreen Retail LLC,,AU,No website URL
Easy Commerce,,AU,No website URL
PNTPRODUCTS,,AU,No website URL
world yt,,AU,No website URL
Auswide Deals,,,No website URL
Call The Doctor,https://www.call-the-doctor.com.au,AU,Scrape failed / timeout
Adelaide Warehouse & Distribution Services (AWDS),http://www.awds.com.au,AU,Scrape failed / timeout
Reach100,,AU,No website URL
HealthSense Medical Centre Golden Grove,https://healthsensegoldengrove.com.au,AU,Scrape failed / timeout
Adelaide University Health Clinic (City West Campus),https://auhealthclinics.com,AU,Scrape failed / timeout
University Health Practice,http://www.universityhealthpractice.com.au,AU,Scrape failed / timeout
City Clinic,http://cityclinic.xyz,AU,Scrape failed / timeout
Golden Grove Family Health Care,https://www.familyhealthgroup.com.au/golden,AU,Scrape failed / timeout
E&JGroups,,AU,No website URL
Market Harness,,,No website URL
Webseeder Digital Marketing Agency,,AU,No website URL
Gary J Smith Real Estate,https://garyjsmith.com.au,AU,Scrape failed / timeout
HelloGP,https://hellogp.com.au,AU,Scrape failed / timeout
Rideall,https://customer.moovs.app,,No email or phone found
Wellcare Medical Clinic,https://wellcaremc.net.org.au,AU,Scrape failed / timeout
GlobalGoddies,https://globalgoddies.com,AU,Scrape failed / timeout
ontime,,AU,No website URL
Isis Technolabs,,AU,No website URL
LJ Business,,AU,No website URL
Health on Kensington,http://www.healthonkensington.com.au,AU,Scrape failed / timeout
Palmer Hospitality Group,https://palmerhospitalitygroup.com,AU,Scrape failed / timeout
JanVi Carinya,,AU,No website URL
Prameet Kotak,https://prameetkotak.com/healing-massage-therapy-with-prameet,AU,Scrape failed / timeout
SunnyBrook Bed & Breakfast,http://www.sunnybrookbnb.com.au,AU,Scrape failed / timeout
Tarcowie Hotel,,AU,No website URL
The Corporate Travel Show,https://corptravelshow.com.au,,Scrape failed / timeout
Peterborough Hotel,,AU,No website URL
Ramsgate Hotel by Nightcap Social,,AU,No website URL
Globe Hotel,,AU,No website URL
Caltowie Hotel,,AU,No website URL
Eyre Refuelling Solutions,,AU,No website URL
VersaCart,https://versacart.com.au,,Scrape failed / timeout
ETICO Business Solutions PTY Ltd,,AU,No website URL
Camtech,,AU,No website URL
Borough Markets,https://boroughmarkets.com.au,AU,Scrape failed / timeout
Paradigm Initiatives,,AU,No website URL
Contact 121,http://www.contact121.net,AU,Scrape failed / timeout
SAN Mateo - Holiday Accommodation,,AU,No website URL
Avoca-on-Darling Hospitality,,AU,No website URL
Sanctuary on Point,,AU,No website URL
Pooncarie Hotel Motel,,AU,No website URL
Highbury Medical Centre,https://highburymedicalcentre.com.au,AU,Scrape failed / timeout
Hyde Park Medical Clinic,http://hydeparkmedicalclinic.au,AU,Scrape failed / timeout
Creations by Stefanie,,AU,No website URL
JG Advantage,,,No website URL
Ozdrops,https://ozdrops.com,,Scrape failed / timeout
ozdrops,https://www.ozdrops.com,,Scrape failed / timeout
One on One Property Management,,AU,No website URL
Approved Real Estate,https://approvednt.com.au,AU,Scrape failed / timeout
Litchfield Realty,,AU,No website URL
Abode Property Management,http://www.abode4me.com.au,AU,Scrape failed / timeout
Hoyleton Hotel,,AU,No website URL
Olary Hotel,https://www.facebook.com/profile.php,AU,Scrape failed / timeout
Port Neill Hotel,,AU,No website URL
Broken Hill Visitor Information Centre,https://www.visitbrokenhill.com,AU,Scrape failed / timeout
The Junction Hotel - Brinkworth,http://www.facebook.com/junctionhotelbrinkworth,AU,Scrape failed / timeout
Mount Little Station,http://mtlittlestation.com.au,AU,Scrape failed / timeout
The Glanville Hotel,,AU,No website URL
Mallala Hotel,https://www.facebook.com/theMallalahotel,AU,Scrape failed / timeout
Wilmington Hotel,https://www.facebook.com/wilmohotel,AU,Scrape failed / timeout
Warooka Hotel,,AU,No website URL
Burra Hotel,,AU,No website URL
Owen Arms Hotel,https://owen-arms-hotel.business.site,AU,Scrape failed / timeout
HOSO® Real Estate & Property Management,http://www.hoso.com.au,AU,Scrape failed / timeout
Kevin Hodges Real Estate,http://www.kevinhodges.com.au,AU,Scrape failed / timeout
Magain Real Estate - Tusmore,,AU,No website URL
Health on Kensington,http://healthonkensington.com.au,AU,Scrape failed / timeout
"Stealthtech - Security cameras, networking and car audio",http://www.stealthtech.com.au,AU,Scrape failed / timeout
DB Solutions PTY Ltd.,,AU,No website URL
Greenwith Family Health Care,https://www.familyhealthgroup.com.au/greenwith,AU,Scrape failed / timeout
Qoastal,https://qoastal.co,,Scrape failed / timeout
Madi Web Design,http://www.madiwebdesign.com,AU,Scrape failed / timeout
Luigi's,,,No website URL
Advanced Residential,https://advancedresidential.com.au,AU,Scrape failed / timeout
Ellis Parker Real Estate,http://www.ellisparker.com.au,AU,Scrape failed / timeout
Comfort Inn & Suites Augusta Westside,https://www.choicehotels.com/south-australia/port-augusta/comfort-inn-hotels/au327,AU,Scrape failed / timeout
Northern Medical Centre,https://northernmc.com.au,AU,Scrape failed / timeout
Paragon Medical + Dental Clinic,https://www.solitairemedicalgroup.com.au,AU,Scrape failed / timeout
Angaston Medical Centre,http://www.angastonmedical.com.au,AU,Scrape failed / timeout
Harris Real Estate Kent Town,https://www.harrisre.com.au,AU,Scrape failed / timeout
Axiom Realty,https://axiomrealty.com.au,AU,Scrape failed / timeout
The Pitstop Sunraysia,,AU,No website URL
The Pleasure Vault,http://thepleasuevault.com,,Scrape failed / timeout
Home Zone NT,,AU,No website URL
EL SHADDAI FAMILY PRACTICE,,AU,No website URL
Family Healthcare Erindale,https://www.familyhealthcareerindale.com.au,AU,Scrape failed / timeout
Norwood Family Practice,https://norwoodfamilypractice.com.au,AU,Scrape failed / timeout
REAL Estate Agents Group - Mawson Lakes,,AU,No website URL
Specsavers Optometrists & Audiology - West Lakes Westfield,https://www.specsavers.com.au/stores/westlakes,AU,Scrape failed / timeout
Specsavers Optometrists & Audiology - Parabanks Centre,https://www.specsavers.com.au/stores/parabanks,AU,Scrape failed / timeout
Specsavers Optometrists & Audiology - Mitcham,https://www.specsavers.com.au/stores/mitcham,AU,Scrape failed / timeout
Specsavers Optometrists & Audiology - Hollywood S/C,https://www.specsavers.com.au/stores/hollywood,AU,Scrape failed / timeout
HERON PROPERTY,,,No website URL
Foster & Tarrant Property Management,,,No website URL
Buri Son - Real Estate Agent at eXp Realty,https://www.expaustralia.com.au,AU,No email or phone found
Willow Real Estate,https://willowrealestate.com.au,AU,No email or phone found
Blights Real Estate - Whyalla,http://www.blights.com.au,AU,Scrape failed / timeout
HRISTO - Adelaide's Specialist Buyers Agency,https://hristo.com.au,AU,Scrape failed / timeout
Harris Real Estate Glenelg,https://www.harrisre.com.au,AU,Scrape failed / timeout
North East Realty,https://nerealty.com.au/index.html,AU,Scrape failed / timeout
I-Manage Property Investments,https://www.i-manage.com.au/contact.html,AU,Scrape failed / timeout
TopChoiceAustralia,,AU,No website URL
Austar,,AU,No website URL
ShopWise,,AU,No website URL
Cartify,,AU,No website URL
VNAussie,,AU,No website URL
Thermo Probe,,AU,No website URL
Giantpodz,,AU,No website URL
DreamCommerce,,AU,No website URL
ZOOM DIGITAL,,AU,No website URL
Web Blend,http://www.webblend.au,,Scrape failed / timeout
The Nursey Nurse,https://ff016b.myshopify.com,AU,Scrape failed / timeout
Hale Real Estate t/as Urban & Rural Partners,http://www.urpartners.com.au,AU,Scrape failed / timeout
Elstone Real Estate,,AU,No website URL
CE Property Group,https://cepg.com.au/agency,AU,Scrape failed / timeout
Blights Real Estate - Kadina,http://www.blights.com.au,AU,Scrape failed / timeout
ZipNiche,,AU,No website URL
Samaya,,AU,No website URL
Serisco,,AU,No website URL
Spicers Paper,,AU,No website URL
NT Webworks,https://www.ntwebworks.com.au,,No email or phone found
9 Yards Studio,,AU,No website URL
The Untamed Project,https://theuntamedproject.com,,Scrape failed / timeout
Internet Marketing Experts Darwin,,AU,No website URL
Detox & Cure,https://www.detoxandcure.com,,Scrape failed / timeout
Better Living Collective,https://www.betterlivingcollective.com.au,,Scrape failed / timeout
Cullinan Property Management,http://cullinanpm.com.au,AU,Scrape failed / timeout
